reaction_energy,activation_energy,surface,ab,a,b,reference,url,dataset
-0.26,-0.26,Zn(211),H*,hfH2,*,CatApp BEP,http://suncat.stanford.edu/catapp,"BEP+DACAPO, RPBE @ SUNCAT"
1.627,1.627,Fe(110),CO*,CO,*,CatApp BEP,http://suncat.stanford.edu/catapp,"BEP+DACAPO, RPBE @ SUNCAT"
4.133,4.133,Fe(111),CO*,CO,*,CatApp BEP,http://suncat.stanford.edu/catapp,"BEP+DACAPO, RPBE @ SUNCAT"
5.733,5.733,Fe(100),CO*,CO,*,CatApp BEP,http://suncat.stanford.edu/catapp,"BEP+DACAPO, RPBE @ SUNCAT"
2.36,2.36,Zn(211),O*,hfO2,*,CatApp BEP,http://suncat.stanford.edu/catapp,"BEP+DACAPO, RPBE @ SUNCAT"
-3.91727,-3.91727,HgAg3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.8574,-3.8574,AgAg3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.84441,-3.84441,CdAg3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.83848,-3.83848,AgAu3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.77896,-3.77896,CdPd(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.76938,-3.76938,BiAg3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.72462,-3.72462,CdPt(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.70773,-3.70773,AuAg3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.70339,-3.70339,AuAg3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.6887,-3.6887,PbAg3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
